pubmed_id_list,min_publication_date
15469992,2004 Dec
16443932,2006 Apr
16498633,2006 May 15
18484747,2008 Jun 10
19268428,2009 Apr 24
"19268428,27017521",2009 Apr 24
"20951680,25838426",2015 Jun
21520210,2011 Aug
22889411,2012 Oct 5
25192599,2015 Jan
25331947,2014 Dec 12
28065597,2017 Jan 19
31617661,2019 Dec
35013218,2022 Jan 10
35509820,2022 Mar
"14722086,16192278",2004 Apr 9
16192272,2005 Nov 25
16192269,2005 Nov 25
12084722,2002 Sep 6
12196520,2002 Nov 1
16192286,2005 Oct 8
16192283,2005 Oct
14559902,2003 Dec 26
16192287,2005 Nov 1
"14722086,16192274",2004 Apr 9
"16192270,16192292",2005 Nov 25
16192276,2005 Dec 2
16192291,2006 May
16192282,2005 Oct
16192281,2005 Oct
16192288,2005 Nov 1
16192285,2005 Nov
16192271,2005 Dec 2
16192277,2005 Nov 25
16192284,2005 Oct
16192275,2005 Dec 9
16192274,2005 Dec 9
16192290,2006 May
16192289,2006 Mar
16192279,2005 Dec 23
12421765,2002 Nov
21078624,2011 Feb 1
26496610,2015 Oct 22
28298427,2017 Mar 15
"32409323,33961781",2020 Aug
35696571,2022 Jun 21
35748872,2022 Jul 8
31871319,2020 Jan
"32788342,34079125",2021 Jul
34079125,2021 Jul
12480705,2003 Apr 15
20186120,2010 Mar 17
21726808,2011 Jul 8
"22939629,32877691",2020 Sep 1
25609649,2015 Jan 21
25737280,2015 Mar 1
26389662,2015 Oct
26972000,2016 Mar 22
27499296,2016 Aug 18
27505670,2016 Aug 8
28190767,2017 Mar 2
"28380382,30033366",2017 Apr 4
28443643,2017 Apr 26
28718761,2017 Jul 18
29117863,2017 Nov 8
29180619,2017 Nov 27
29961565,2019 Feb 15
30033366,2018 Aug 9
"30033366,32877691",2018 Aug 9
30833792,2019 Apr
"31056398,32628020",2019 May 13
31240132,2019
31995728,2020 Mar 5
32457219,2020 Aug
"32877691,33961781",2020 Sep 1
32877691,2020 Sep 1
"32877691,34079125",2021 Jul
33957083,2021 Jun 17
35439318,2022 Jul 5
21081503,2011 Jan 21
21145461,2010 Dec 10
"21244100,21832049",2011 Apr 1
21907836,2011 Dec 21
22678362,2012 Jul 13
22952844,2012
23182705,2013 Jan 14
24457600,2014
"24457600,26496610",2014
"24711643,31343991",2014 Jun
24711643,2014 Jun
25437307,2014 Dec 1
"25665578,31665637",2015 Feb 9
25963833,2015 Jul
26269332,2015 Nov
26687479,2015 Dec 21
26752685,2016 Jan
27684187,2016 Sep 28
28077445,2017 Apr
28977666,2017 Oct 13
"29467282,35013218",2022 Jan 10
29511296,2018 Mar 6
29802200,2018 Jul 13
"29955894,36736316",2018 Sep 28
30320910,2019 Apr
"30554943,31239290",2019 Feb 7
30554943,2019 Feb 7
30770245,2019 Feb 19
30940648,2019 May
31048545,2019 Jun 1
31059266,2019 Jun 7
31409639,2019 Oct 1
31527615,2019 Sep 16
32041737,2020 May
32780723,2020 Sep 17
32788342,2020 Nov
33277362,2021 Jan-Jun
33397691,2021 Feb 23
34091597,2021 Jun 5
34244565,2021 Jul 9
35253629,2022 Nov
35819319,2022 Sep 2
35831895,2022 Jul 13
35973513,2022 Oct
36273042,2022 Nov
36339263,2022 Nov 18
36537216,2023 Jan 25
36597993,2023 Mar 6
10466724,1999 Aug 19
36168628,2022
1379745,1992 Aug 7
1571536,1992 May 1
"1712671,8112292,12543778,21653319",1991 Jul 12
2183353,1990 Apr 13
7533294,1995 Feb 28
7565761,1995 Nov
"7590236,12569093,17101133,27229929,28514442,33961781",1995 Nov 1
"7678409,16273093,24658140,25402006",1993 Jan 25
7760813,1995 Jun
"7780740,8810278",1995 Mar 1
"7828850,8242749,8626527,9071815",1993 Nov 19
7828850,1995 Jan 1
"7926767,8524328,8978305,9710592,9820532,14604282,16955467,18835194,19823681,33961781",1994 Apr 1
"7926767,8194526,9407116,14725908,16955467,19380743,19823681,23950177,36736316",1994 May 15
"7926767,10372803,10967110,11494134",1994 Apr 1
7968380,1994 Jul
"8112292,10194451,19380743,36736316",1994 Feb 15
8112292,1994 Feb 15
"8194526,9747873,12097319,15696159,18619508,18835194,19380743,31980649,33961781",1994 May 15
"8242749,12654250,16397227",2003 Mar 21
"8294442,8781408,16135792,16219545,19380743",1996 Sep 1
"8626543,9174058,9195915,10829062,11494134,12475393,14604282,14725908,15556646,16955467,19380743,19823681,20675402,36736316",1996 Apr 5
"8668148,8879209",1996 Oct 1
8692915,1996 Jul 9
8943360,1996 Dec
9006901,1997 Jan 31
"9008161,9822717,10688886,11071635,19823681,22974441",1997 Jan 24
"9010225,11418237,12672821,18328268",1997 Jan 16
"9168116,9168117,10212258,11375976,17409407,20798688",1997 May 29
"9211900,12475393,18559503",1997 Jul 11
9312071,1997 Oct 3
9315092,1997 Sep
9334312,1997 Oct 1
9407116,1997 Dec 26
"9478921,15831486",1998 Feb 27
9583676,1998 Apr 9
9593709,1998 May 29
9632734,1998 Jun 26
9774693,1998 Nov
"9798959,25852190",2015 Apr 7
9872323,1998 Dec 17
10187839,1999 Apr 9
"10194451,19380743",1999 Apr 15
"10212258,19427856,21653319",2009 Jun 18
"10391250,10391251,19442657,25893286",1999 Jun 24
10455176,1999 Aug 27
10571082,1999 Oct 22
"10608806,20798688",1999 Dec 31
10629029,2000 Feb
"10679771,10708759",2000 Feb 1
10708759,2000 Mar 3
10753870,2000 Apr 14
10945997,2000 Nov 17
"10970852,18559503",2000 Sep 1
11121037,2000 Dec 19
11163214,2000 Dec
"11374898,19891780",2001 May 15
11375976,2001 Aug 3
11420673,2001 May 10
11431473,2001 Sep 14
11494128,2001 Jul 5
11790798,2002 Apr 5
11827972,2002 Apr 26
11955625,2002 Mar 19
11971963,2002 May
12021275,2002 Aug 9
"12024016,17352427",2002 Jun
12107171,2002 Sep 20
"12110584,16702947,25624478",2002 Jul 15
12167702,2002 Sep
"12569093,15735735",2003 Apr 11
12777400,2003 Aug 8
12893824,2003 Oct 10
"15175272,34048709",2004 Aug 1
15657060,2005 Mar 25
"15696159,16888623,25852190,33961781,35271311",2005 Mar
"15696159,16888623,25852190,35271311,36736316,36931259",2005 Mar
"15696159,16888623,22649097,25852190,36931259",2005 Mar
"15696159,16888623,25852190,35271311,36931259",2005 Mar
"15696159,16888623,25852190,30021884,33961781,35271311,36931259",2006 Aug 23
"15696159,16888623,25852190,33961781,35271311,36931259",2005 Mar
"15937340,16723087,20675402,21248063,22939624",2005 Jul 22
"15937340,16723087",2005 Jul 22
15961388,2005 Aug 12
"16014719,18070606",2005 Jul 13
"16109371,22833565",2005 Aug 19
16109371,2005 Aug 19
"16273093,19275932,22973453",2006 Jan 12
"16273093,22973453",2012
"16397227,19442657",2006 Jan 1
16443220,2006 Apr 1
16631755,2006 May 15
16678104,2006 May 5
"16678104,25620702",2006 May 5
16723087,2006 Jun
16888623,2006 Aug 23
"16888623,36931259",2023 Mar 16
17112510,2007 Jan 15
17254966,2007 Jan 26
17352427,2007 Apr
17888034,2007 Dec
18155796,2008 Feb
18235045,2008 Apr 1
18280240,2008 Feb 15
18619508,2008 Aug
"18619508,19818398",2010 Feb
18765637,2008 Nov
19075013,2009 Feb 6
19275932,2009 Jul
19380743,2009 May 5
19470755,2009 Aug
19531213,2009 Jun 16
19657362,2009 Dec
19789182,2009 Oct 15
"19914245,28141795",2010 Jan 4
19953087,2009
"20675402,28128329,29149649",2010 Nov 4
20675402,2010 Nov 4
"20697350,29513927",2010 Nov 4
"20823226,21209200,35509820",2010 Sep 21
21715626,2011 Jun 29
22238610,2012
22649097,2012 May 29
"22787435,29991678",2012 Jun
"22787435,30236924",2012 Jun
23007395,2012 Nov 9
23383002,2013
23852372,2013 Oct
23950177,2013 Sep 19
24140708,2014 Feb
24317448,2014 Jun
24412932,2014 Jun 1
24728074,2014 Jul
25852190,2015 Apr 7
25944899,2015 Jul 3
27229929,2016 May 26
27503909,2016 Oct 15
28319113,2017 Jun
"28514442,33961781,37219487",2017 May 25
28842482,2017 Oct 6
29513927,2018 May
30945288,2019 Aug
"31789418,36086954",2020 Jan
33477751,2021 Jan 19
"35271311,36736316",2022 Mar 11
"35271311,37219487",2022 Mar 11
36049365,2022 Sep
36086954,2023 Jan
36736316,2023 Mar 2
37219487,2023 Jul 11
11418237,2001 Jun 27
12681507,2003 Apr 10
15886098,2005 May 10
15696159,2005 Mar
9632788,1998 Jul
10892742,2000 Jun 23
12384576,2002 Oct 29
1383690,1992 Nov
10970852,2000 Sep 1
15735735,2005 Apr 7
"9211900,12475393",1997 Jul 11
10194451,1999 Apr 15
11279131,2001 Jun 8
9356459,1997 Nov 11
10837221,2000 May 18
11390389,2001 Aug 3
"10391250,10391251",1999 Jun 24
10777567,2000 Apr 28
12777393,2003 Aug 8
16831423,2006 Jul 24
"9111318,11593427,15143187",2001 Sep 27
"8438166,12522270|17192257",2003 Jan 21
4062888,1985 Oct 1
"10629029,10713716",2000 Feb
10637231,2000 Jan 17
