pubmed_id_list,min_publication_date
"31871319,34315543",2020 Jan
"31871319,34285210",2020 Jan
33865221,2021 Jun 11
36192543,2022 Oct 3
36469134,2022 Dec 5
15864301,2005 May 26
8816443,1996 Oct
8662891,1996 Jun 7
11940653,2002 May
"12730235,22807448",2003 Jul 11
12773565,2003 Jun
"12842009,31871319",2003 Jul 1
18786395,2008 Sep 10
"20811643,22807448,33961781",2012 Sep 7
"22807448,31871319",2012 Sep 7
22807448,2012 Sep 7
24045951,2013 Oct 25
"26108681,31871319",2015 Sep
26108681,2015 Sep
12842009,2003 Jul 1
"11162552,11689693,31871319",2001 Dec
"11368848,35271311",2022 Mar 11
"12376551,31871319",2002 Dec 6
12376551,2002 Dec 6
"12879077,31871319",2003 Jul 24
12879077,2003 Jul 24
21930703,2011 Nov 11
"25065758,31871319,32203420",2014 Aug 4
29111377,2018 Jan
31722399,2020 Jan 10
"31871319,37931956",2020 Jan
"31871319,32628020",2020 Jan
15620647,2004 Dec 29
"11909943,12376551",2002 Apr
11689693,2001 Dec
8253717,1993 Dec 15
"9407060,9427749,9535855,10551883,10684602,14749388,31871319",1997 Dec 26
"9535855,14749388,31871319",1998 Apr 10
"10551883,10954711,29997244",1999 Nov 12
10954711,2000 Dec 1
12901880,2003 Aug 22
23667531,2013
"24797263,35384245",2014 Jul
11741952,2002 Mar 1
15652341,2005 Feb 15
14697242,2004 Jan 16
9034330,1997 Feb 3
8805223,1996 Jan 1
"9262406,9268338,9846874",1997 Aug 14
"15169898,15588985",2004 Jun
"10551883,10799524,10954711",2000 Dec 1
26702831,2015 Dec 21
10655059,2000 Feb
10092539,1999 Apr 2
"15231748,28514442,33961781",2004 Jul
"25659891,28514442,33961781",2015 Apr
"32203420,33961781",2020 Apr
36354136,2022 Nov
"1689011,8344248,10769036",1990 Jan 25
8537347,1995 Dec 29
10713673,2000 Mar 2
"12554790,15588985",2003 Apr
"9287351,26344197",2015 Sep 17
"9490022,10673424,11368848,11513578,11513579,17353931,19961560,21900206,22393046,27173435,31871319,31980649,35271311",1998 Jan 30
"9490022,17353931,20936779,21900206,24276241,26344197,31980649,36192543",2007
"9490022,11368848",1998 Jan 30
"11368848,11809807",2001 May
11513578,2001 Aug 28
"15659383,26344197",2005 Mar 25
"17353931,24999758",2007
18723680,2008 Sep 2
"21145461,32876072",2010 Dec 10
21447808,2011 Apr 6
"21900206,35271311",2011 Sep 6
"26344197,37232246",2015 Sep 17
26719334,2016 Mar 11
27835684,2016
28772241,2017 Sep
30942445,2019 Jun
32876072,2020 Oct 28
"35256949,35987950",2022 Aug 20
15225553,2004 Jul 2
10664460,2000 Feb 4
"9287351,9681826",1997 Sep 12
"9195882,11320308",2001 May
10676816,2000 Feb 4
"10346909,10673424,11513579",1999 May 25
10655614,2000 Feb
11809807,2002 Feb
27383304,2016 Jun
9287351,1997 Sep 12
8626669,1996 May 10
14764880,2004 Feb 6
27574848,2018 May 4
"27574848,31871319",2018 May 4
"11303027,12972563,14580338,35844135",2001 Jun 22
"11792819,12972563,35844135",2001 Dec
"12972563,35844135",2003 Sep
12972563,2003 Sep
14718928,2004 Jan
17314511,2007 Jan 15
"31980649,36244648",2020 Jan 24
32060556,2020 Jun 1
"36398858,37589075",2023 Aug 1
11303027,2001 Jun 22
"11303027,12972563",2001 Jun 22
10318838,1999 May 14
10644760,2000 Jan 28
14506227,2003 Dec 5
17344216,2007 May 4
11943777,2002 Jun 21
9341190,1997 Oct 24
"10488091,11809823,21988832,25416956,27107012,29997244,32296183,33961781",1999 Sep 24
"10831612,12912990,26344197,33961781,35271311,35831314",2000 May 29
"11980706,16189514,21516116,25416956,27107012,32296183,33961781",2002 May 1
"12527357,25416956,27173435,32296183",2003 Jan 16
12912990,2003 Oct 17
"28514442,33961781,35831314",2017 May 25
"28514442,33961781,35844135",2017 May 25
"30033366,35271311",2018 Aug 9
12527357,2003 Jan 16
11809823,2002 Jan
11980706,2002 May 1
"10831612,12912990",2000 May 29
"11303027,27173435,32296183,33961781",2016 May 13
"11303027,16169070,26186194,27173435,28514442,32296183",2001 Jun 22
"11847227,16472755",2002 Apr 26
"16169070,32296183,33961781,35271311",2020 Apr
"16169070,23284306",2005 Sep 23
"27173435,33961781",2021 May 27
35987950,2022 Aug 20
"10518933,11980706",2002 May 1
11847227,2002 Apr 26
12417528,2002 Nov 15
"7836384,8663540,9079689,9159130,9576906,10085255,10671489,11025203,11593383,11606485,11782478,11829741,12391259,12393189,12810720,14764593,15031145,15319539,15347669,15479785,15615775,15833858,15850782,16520375,16861921,16954218,17197389,17213817,17916562,18024476,19251694,19845609,20049704,20458141,20562859,20699359,21435239,21512126,23086815,23363003,23458834,23796364,24056783,25416956,26160453,26350169,26496610,27320910,27684187,28205554,28514442,33961781,34592152,35031618,36359803",1995 Jan 20
"9020169,9271372,11782478,14701734,27472814,27684187,33961781",1997 Feb 14
"9020169,11782478,27472814",1997 Feb 14
"9079689,9576906,15192019,16181639,19129502,19845609,23275444,23796364,24981860,26160453,32461361,33591636",1997 Mar 28
9576906,1998 May 12
"9611253,15837795",2005 Jun 3
9712901,1998 Aug 28
9887096,1999 Jan 1
10692439,2000 Mar 3
"10999956,26944191",2016 May
11259606,2001 Apr
11593383,2001 Sep 13
"12024042,26350169",2002 Jun
12097158,2002 Jul
"12354770,34795231",2002 Nov 29
"14701734,27472814",2004 Jan
14764593,2004 Apr 16
15653678,2005 Apr 8
"16126907,16182248,26160453",2005 Sep
"16181639,16520375,28205554",2005 Oct 28
16567799,2006 May 26
"17220880,27684187",2007 Feb
"17413038,25879517",2007 Jun
18187047,2008 Mar
19203995,2009 Apr 10
"19324882,21512126",2009 May 29
"19324882,21512126,23240775",2009 May 29
20006590,2010 Apr 15
"20049704,24981860",2009 Apr
"21512126,25627682",2011 May 10
22981438,2012 Nov
23085038,2013 Jan
24618291,2014 Mar 11
"25609649,26186194,28514442,33961781",2015 Jan 21
25879517,2015 Apr 8
25974097,2015
"26186194,28514442,33168788",2015 Jul 16
"27684187,33961781",2016 Sep 28
"27684187,28514442,33961781",2017 May 25
"27684187,35031618",2022 Jan 14
"28205554,28628118",2017 Feb 16
31763849,2020 Jan 3
32391793,2020 May 11
32699137,2020 Sep 15
33168788,2020 Nov 30
33591636,2021 Apr
34592152,2021 Sep 28
35031618,2022 Jan 14
9113979,1997 Apr 29
15635607,2005 Feb 15
8663540,1996 Jul 26
9111057,1997 Apr 25
15837795,2005 Jun 3
"11502749,12354770",2001 Nov 2
12354770,2002 Nov 29
16129408,2005 Dec 9
9020169,1997 Feb 14
"9020169,9271372,11782478",1997 Feb 14
11879970,2002 Mar 24
15485806,2004 Dec 24
14701734,2004 Jan
8927054,1996 Oct
"10531061,23555304,25756610",1999 Oct 22
"11439184,14701734,19922678,20551151,23555304,26164627,27173435,28514442,30287810,32296183,33961781",2001 Jun 29
"11439184,23555304,24722188,28514442,32296183,33961781",2001 Jun 29
11439184,2001 Jun 29
"11875063,23555304",2002 May 10
14645221,2004 Feb 20
18662547,2008 Jul 25
23555304,2013 Mar
"23555304,31155351",2013 Mar
"23555304,26562092",2015
"23602568,32707033",2013 Apr 25
"24728990,25660546",2014 May
26164627,2015 Oct
26562092,2015
29871923,2018 Jul 20
29935055,2018 Aug
32041778,2020 Apr 3
32765757,2020 Sep
"12397359,15193144",2002 Oct 24
9989497,1999 Jan 8
11875063,2002 May 10
14701732,2004 Jan
10531061,1999 Oct 22
9704006,1998 Jul 30
"9576906,11439184",1998 May 12
9852134,1998 Dec 18
"16189514,21516116",2005 Oct 20
"17353931,17620599",2007
"17620599,28514442,33961781",2007 Jul 17
12853434,2003 Jul 9
12850288,2003 Jun 30
11729201,2002 Mar 1
12486395,2002 Dec 11
"9827808,11877451",1998 Nov 13
"9169477,16709866,17620599,33844281",1997 Jun 6
10196135,1999 Apr 16
10347142,1999 Jun 4
"10753943,19262695",2000 Apr 14
11170396,2001 Jan 23
11259507,2001 Mar
"11356842,19782076",2001 Jul 27
"11588219,12538596,15878855,18544533,21081496,21466165,29676828",2003 Mar 28
11723231,2001 Dec
"11729201,16709866",2002 Mar 1
11742073,2001 Dec 18
12065593,2002 Aug 23
12105416,2002 Aug
12220636,2002 Sep 11
12464600,2003 Feb 7
14500724,2003 Dec 5
"15125834,15173580",2004 May 7
15699339,2005 Feb 22
"15878855,33158816",2005 Jul 1
"16189514,21988832,26871637,32296183",2005 Oct 20
16378096,2006 Feb
16412099,2006 Feb
16432186,2006 Jan 31
"16432186,19202075,23242524,33844281",2006 Jan 31
16778767,2006 Jul 12
"17353931,28514442,33961781",2017 May 25
"17353931,17620599,28514442,33961781",2007
"17353931,17620599,28514442",2007
"17353931,17620599,26399832,28514442,29999490",2007
"17353931,17620599,26399832,28514442,33961781",2007
"17500066,17620599",2007 Jul 13
17500066,2007 Jul 13
"17620599,21988832",2007 Jul 17
"17947233,18544533",2008 Aug 8
18544533,2008 Aug 8
18729826,2009 Jan 1
"18729826,32505358",2009 Jan 1
19202075,2009 Feb 24
19306926,2009 Jul
"19306926,19782076,32445435",2009 Jul
19363159,2009 Apr 21
19782076,2009 Oct 20
19879840,2009 Oct 30
20448034,2010 Jul 9
"20505072,23208550",2013 Feb
"20505072,32753481",2010 Jul 15
20855896,2010 Dec 3
21378163,2011 May 13
"21466165,35256949",2011 May 10
21685944,2012 Jan 19
21857681,2011 Aug 21
"23886940,31822496",2020 Mar 1
23886940,2013 Oct 1
26399832,2015 Sep 24
27155323,2016 Aug
28425985,2017 Apr 20
28947386,2018 Jan
29676828,2018 Jun
30480076,2019
30631154,2019 Apr
31167788,2019 Jul 19
31506606,2020 Apr
31822496,2020 Mar 1
34189428,2021 Jul 23
36573960,2023 Mar 1
15125834,2004 May 7
10973280,2000 Sep
16611986,2006 May
"9388255,10347142",1999 Jun 4
"11278883,12393857",2001 Apr 20
10753943,2000 Apr 14
9169477,1997 Jun 6
"9169477,32962859",2020 Dec 10
"11090355,19306926,19782076",2000 Nov 24
"11090355,19782076",2000 Nov 24
"11226259,15699045,17620599,25241761",2005 Apr 15
"11259507,28388416",2001 Mar
11418617,2001 Aug 31
"11588219,12488444,12538596,15878855,17984062,18544533,21081496,21389118,21466165,21988832,26545496,32450252,32828283,33649538",2001 Nov 9
11867621,2002 May 17
"11877451,17620599",2007 Jul 17
"11877451,19122674,19202075,23242524",2002 May 10
12473660,2003 Feb 21
"12473660,25241761",2003 Feb 21
"14500724,17620599",2007 Jul 17
14602721,2004 Jan 23
"15878855,19165858,23188799,33158816",2005 Jul 1
"16378096,25425640",2006 Feb
16956790,2006 Sep
"17353931,17620599,26399832,29999490",2007 Jul 17
"17353931,17620599,26399832,28514442,29999490,33961781",2007
"17620599,33961781",2007 Jul 17
"17620599,28515276",2017 Jun 5
"17620599,17984062",2007 Jul 17
"17620599,32450252",2007 Jul 17
"17620599,33649538",2007 Jul 17
"17620599,25241761",2014 Dec 5
"17620599,21378163",2007 Jul 17
17984062,2007 Nov 13
18445652,2008 May 6
"18544533,23208550",2013 Feb
"19060904,25416956,32296183",2009 Jan
19122674,2009 Feb 26
"19363159,19424180,24377933,27835898",2009 Jun 17
"20100572,27155323",2010 Jun
21112970,2011 Jan 28
21502318,2011 Jun 3
21708946,2011 Aug 19
"23208550,23236378",2012
23382074,2013 Apr
23782696,2013 Aug 2
24733850,2014 May 15
"25162404,32450252",2020 Aug
25425640,2015 Jan 23
"26545496,29054428",2018 Jan
26898829,2016 May
30354204,2018 Oct
32505358,2020 Jul 30
33649538,2021 Mar
34007068,2021 Nov
34031190,2021 Aug
15618519,2004 Dec 24
12958364,2003 Sep 5
"9037196,11729201",1997 Feb 3
18768750,2008 Nov
"11090355,11356842",2000 Nov 24
10644702,2000 Jan 28
10097102,1999 Mar 30
"11588219,12488444,12538596",2003 Feb 21
12958365,2003 Sep 5
11356842,2001 Jul 27
9521684,1998 Mar 17
"21516116,25416956,25910212,26871637,32296183",2014 Nov 20
31312839,2019 Sep 1
35007762,2022 Feb
11777924,2002 Mar 15
15188402,2004 May
2562955,1989 Jan 15
9685421,1998 Aug 7
11498506,2001 Aug
20395553,2010 Jul
11058098,2000 Nov
"11821434,15123239",2002 Apr 12
"27684187,33961781,34079125",2021 Jul
15456900,2004 Dec
11821434,2002 Apr 12
"22268729,32409323",2012 Mar 2
12815059,2003 Aug 29
"8662987,8900141",1996 Jun 14
8900141,1996 Oct 25
"10903890,33961781",2000 Jul 21
11564735,2001 Nov 30
"15318167,33961781",2004 Sep 1
19590511,2009 Sep
24270405,2014 Feb
26253517,2015 Oct
9197246,1997 Jun 1
10903890,2000 Jul 21
"8900141,8948587",1996 Nov 25
8662987,1996 Jun 14
8948587,1996 Nov 25
15492808,2004 Nov
12482968,2003 Jan
12670868,2003 Apr 1
10757985,2000 Apr 18
"11543633,21988832",2001 Sep
23233672,2013 Jan 25
16008586,2005 Aug
1935897,1991 Dec
12477859,2003 Jan
"2834401,11943787",2002 Jun 21
12167617,2002 Oct 4
11543633,2001 Sep
"21062743,21917589",2011 Jan 14
21062743,2011 Jan 14
21917589,2011 Nov
15946216,2005 Jun
12089159,2002 Sep 20
9058374,1997 Mar
11447115,2001 Jul 16
"9256435,21988832,25416956,32296183",1997 Aug 19
"26871637,32296183",2016 Feb 11
"9256435,11747432",2001 Dec 25
"19615732,23246001,33961781",2009 Jul 23
20435896,2010 Jul 2
"20676083,35271311",2010 Aug 26
"20676083,22505607",2010 Aug 26
20676083,2010 Aug 26
"21516116,26186194,32296183,33961781,34887561",2011 Jun
22505607,2012 Aug 1
"22863883,24885147,24981174,33961781",2012 Sep
24885147,2014 May 29
"24885147,35271311",2014 May 29
"26344197,32723828",2020 Aug 11
"28514442,30033366,32296183,33961781",2017 May 25
28821611,2017 Sep 29
29685906,2018 Jul 1
"30033366,31586073",2018 Aug 9
35552390,2022 May 12
9712828,1998 Aug 28
"27684187,29568061,32687490",2018 Mar 22
"30554943,32416067",2020 Jun 18
"28514442,31536960,34079125",2017 May 25
30320934,2019 Apr
"31527615,33731348",2021 Mar
"31536960,35562734",2019 Sep 27
"31536960,32296183",2020 Apr
"32614325,33961781",2020 Jul 2
"9287354,11069905",1997 Sep 12
"16189514,21988832,25416956",2011 Oct 11
"17314511,29467282,35013218",2018 Apr
23022198,2012 Oct 26
34907164,2021 Dec 14
1372742,1992 Jan-Feb
31169361,2019 Aug 16
34324733,2021 Aug
"3800906,7238875,11927130",1981 Apr 20
10974350,2000 Sep 15
"9067613,9405673,10809774",1997 Dec 23
1315572,1992 Mar-Apr
12878203,2003 Aug 8
9171351,1997 May 1
14715251,2004 Jan 30
"22452784,29117863",2012 Jun 15
23145062,2012
28218735,2017 Feb 20
"28977666,32744500,33283408",2020 Aug 3
30585729,2019 Mar 1
10318867,1999 May 14
7730336,1995 Apr 28
8663317,1996 Jul 26
9671480,1998 Aug
9685505,1998 Aug 15
10585419,1999 Dec 10
10945975,2000 Nov 17
11335727,2001 Jul 6
20398657,2010 Jun 3
"26344197,31964530",2015 Sep 17
15806162,2005 Jun 16
10567391,1999 Nov 26
"11018520,11909979",2002 Apr
11909979,2002 Apr
8570175,1995 Dec 7
"1655749,8384217",1991 Oct 5
9016641,1997 Feb 15
12805554,2003 Jun 27
8384217,1993 Mar 25
"1827203,8622660,14667575,20304822,23661758,25609649,26496610,35271311",1991 May 1
"8152431,30833792",2019 Apr
"8622660,23661758,26264872,27107012,29997244,33961781",1996 Mar
"11792711,15933712,16169070,24554706,31796886",2002 Mar 29
"12718878,20930144",2003 Apr
"14673171,21300803",2011 Apr 15
"15933712,20592017,29225035,31796886,34114479,35372071",2005 Jul 6
16291753,2006 Jan 20
"17042743,23661758",2007 Feb 15
18255255,2008 Apr
"18255255,23661758",2008 Apr
18644986,2008 Jul
"19164757,23661758",2009 Feb 17
19647793,2009 Dec
19932681,2010 Jan 1
20110283,2010 Apr
"20211142,23661758",2010 Mar 5
"20360311,22989952",2012 Nov-Dec
20930144,2010 Oct 15
21986529,2011 Nov 4
22989952,2012 Nov-Dec
22991139,2013 Mar
23455924,2013 Apr
"23661758,28514442,30833792,33961781",2013 May 10
23661758,2013 May 10
24554706,2014 Mar 28
25865756,2015 Apr 13
29225035,2017 Dec 21
30415952,2018 Dec 6
31732746,2019 Dec 16
32692156,2020 Aug 4
34780483,2021 Nov
35372071,2022
15933712,2005 Jul 6
11792711,2002 Mar 29
"8649793,14667575",1996 Mar 7
8152431,1994 Jan
7692236,1993 Nov
8622660,1996 Mar
12718878,2003 Apr
"1827203,20936779,23661758,25241761",1991 May 1
"9295363,10350644,11564156,25241761",1999 May 21
9295363,1997 Sep 19
"10350644,12471036,14630807,16219772,17872950",1999 May 21
11087824,2000 Dec 5
"11238952,16219772,18052253,19053519,21516116,21988832,25416956,26091241,26871637,29892012,32296183",2001 Mar
"12743605,18276110,25416956,25910212,32296183",2008 May
12860379,2003 Jul 17
15475356,2004 Dec 24
"16169070,25416956,29892012,32296183",2005 Sep 23
"16189514,25416956,29892012",2014 Nov 20
"16189514,25416956,29892012,32296183",2014 Nov 20
"16189514,29892012",2005 Oct 20
"17684156,21951999",2007 Nov 15
17726049,2007
"18330356,23661758",2008 Feb
19447967,2009 Jul
"20724472,22017875,25332235,25515538",2010 Oct 22
20873783,2010 Dec 3
21951999,2011 Dec 10
"21988832,27264869",2011 Oct 11
"23661758,32911434",2020 Oct
"23661758,25241761",2013 May 10
"23661758,25416956,32296183",2013 May 10
"25416956,25910212,29892012,32296183",2015 Apr 23
26239904,2016 Feb
29601799,2018 Jun 15
30854784,2019 May
14623284,2003 Nov 28
12743605,2003 May 8
16343488,2006 Jan 9
9488481,1998 Mar
1827203,1991 May 1
11018027,2001 Jan 5
1371974,1992 Mar 24
11025215,2000 Oct
11274184,2001 Jun 15
16049007,2005 Oct 14
"22863883,26344197,31536960",2012 Sep
25687571,2015 Apr
32989298,2020 Nov
33995658,2021
"35446349,35559673",2022 Jun 6
"9598063,11096114",1998
"9135004,9843217,10608806,10713094,10744722,11459832,12645530,14744854,15064416,15159397,15632067,15713674,15790808,16221684,17409407,19965871,20010693,21383020,23525106,23890999,23907539,24469230,25086746,27559048,28654064,30089259,30252118",1997 May 1
"9168116,24957606",1997 May 29
"9725899,10713094,12641457",2000 Mar 17
10212258,1999 Apr 30
"10464290,10608806,28319085",1999 Dec 31
10531300,1999 Oct 29
"10550055,10608806,10783165,10866324,11114888,15713674,17478428,18344987,29656893",1999 Dec 31
"10567403,26344566",1999 Nov 26
"10608806,10783165,15758953,16982765,17507690,22464731,24800743,25088203,30952868",1999 Dec 31
"10608806,15790808,16858402,18571408,20360068,28508083,30089259",1999 Dec 31
"10608806,10910365,22544744,23468639",2000 Jul 13
"10608806,10783165,15758953,30089259",1999 Dec 31
"10608806,11418864,18344987",1999 Dec 31
"10608806,12676583,28319113",1999 Dec 31
"10608806,10713094",1999 Dec 31
"10608806,17124492",1999 Dec 31
10713094,2000 Mar 17
"10713094,10744722,10973490,15064416,15790808,20010693",2000 Mar 17
"10783165,12034743,29523790",2000 Apr 15
10783165,2000 Apr 15
"11042216,12447390,12697768,18996087,20010693,20081839,29656893",2001 Jan 26
"11375976,15314656,18160036",2001 Aug 3
11459832,2001 Jul 15
"11756551,19023333",2009 Feb
"11877376,11877377",2002 Mar 1
"12086603,14499622",2002 May 17
"12562765,17172861",2006 Dec
12562765,2003 Apr 11
"12607005,14519663,18006705,26734725,28943310,29656893",2003 Oct
"15073328,17209043",2004 Apr 20
15082766,2004 May
15142440,2004 May
15199141,2004 Jul
15210935,2004 Jul 6
15314656,2004 Aug
15456891,2004 Oct
15510216,2004 Nov 10
15680327,2005 Jan 28
15713674,2005 Apr 15
"15758953,17171639,30017584",2007 May 15
15758953,2005 Mar 31
15854902,2005 Apr 26
"15916964,18397884",2005 May 27
15923642,2005 Jun
15929992,2005 Jul 29
"16141325,19783983,21704408",2005 Sep 13
16452482,2006 Apr 7
"16497931,18583959,19079347,24457965,28202068,30254148,32731169",2006 Feb 24
16540648,2006 Mar 15
"16678111,28319113",2006 May 5
"16872911,25301947",2014 Dec 5
16952553,2006 Sep
17172861,2006 Dec
"17478428,22213803",2007 Jun 15
17478428,2007 Jun 15
"18160036,20427287,20801936,34838521",2007 Dec 28
"18344987,20081839,21676867,21704408,22184063,22451927,26095369,27918549,28842482,30673298,32518374",2010 Feb
18344987,2008 Apr
18449195,2008 May 29
18480432,2008 Aug
18571408,2008 Jul 8
18644470,2008 Oct 1
18710941,2008 Oct
18848520,2008 Dec 5
19015526,2008 Nov 25
19557330,2009 Jun
19805520,2009 Dec
"19805520,23422745",2009 Dec
19965871,2010 Feb 12
"20005840,29991678",2009 Dec 11
20019063,2010 Apr
20048340,2010 Jan 15
20064447,2009 Dec 18
20081839,2010 Feb
"20427287,20810650,34838521",2010 Sep 1
20534441,2010 Jun 22
"20668194,21676867",2010 Jul 28
20932475,2010 Oct 8
21070773,2010 Dec 1
21095582,2010 Nov 24
21219611,2011 Jan 10
21362549,2011 Mar 4
21460856,2011 Sep 1
"21606198,32731169",2020 Aug 21
22065599,2012 Jan 5
22184063,2012 Feb
22362778,2012 Apr 6
22451927,2012 Apr 17
22464731,2012 May 11
22508697,2012 Apr 15
22850745,2012 Oct
22854598,2012 Sep 14
22976441,2012 Sep
"22976441,27462439,30252118",2012 Sep
23027611,2012 Oct
23096706,2013 Mar
"23096706,28249048",2013 Mar
23405218,2013
23703321,2013 Oct
"23890999,30089259",2013 Aug 15
24413084,2015 Jan 15
"24451148,34144977",2014 Aug
24710276,2014 Jun
24732096,2014
24800743,2014 May
24957606,2014 Jul
25086746,2014 Sep
25092319,2014 Aug 19
25299772,2014 Oct 9
"25331887,26675548",2014 Nov 4
"25640309,28842482",2015 Mar 27
25823024,2016 Jan 21
26943034,2016 Apr 5
27438146,2016 Aug 23
27559048,2016 Oct 1
27814680,2016 Nov 4
27829214,2016 Dec 13
27941124,2016 Dec 1
28067227,2017 Jan 9
28109743,2017 Mar
28628639,2017
29634390,2018
29844578,2018 Jul
30017584,2018 Jul 19
30089259,2018 Aug 7
30252118,2019 Mar 1
"30254148,32572790",2018 Nov 15
30419336,2019 Mar 15
30531838,2019 Apr
30562756,2018
30952868,2019 Apr 5
31315051,2019 Jul 16
31938050,2020
32015321,2020 Feb 3
32029507,2021 Feb 1
32377397,2020
32731169,2020 Aug 21
33097595,2020 Dec 25
33097710,2020 Oct 23
33338048,2020
34606619,2021 Nov 8
36563124,2023 Feb
15916964,2005 May 27
15790808,2005 Apr 22
15064416,2004 Apr 2
15175154,2004 Jun 4
"11252893,11390642",2000 Dec
"15788536,16163388",2005 Oct 5
"10608806,10839544,10839545,11252893",1999 Dec 31
"10608806,11418864",1999 Dec 31
"10973490,11901158,12024051,12242661,12493754",2002 Jun
"9765199,9843217,10673501,11551930,11709713,11875057,16858402,17157788",1998 Oct 1
"9488723,11571274,11893489",1998 Mar 6
"15073328,16293623",2004 Apr 20
"10550055,10866324,11114888",1999 Nov 5
10567403,1999 Nov 26
"11375976,15314656",2004 Aug
10464290,1999 Sep 3
11331603,2001 May 1
12697768,2003 May 30
"10608806,12556884,14519663,16858402,16906133",1999 Dec 31
"9806882,11146653,12588975",1998 Nov 15
"10608806,10839545,11252893",1999 Dec 31
12607005,2003 Feb 27
11877377,2002 Mar 1
"11853558,12234250",2002 Dec 1
11238919,2001 Mar
11756551,2002 Jan
16141325,2005 Sep 13
"11278446,12709442",2001 May 11
"10910365,11689934",2000 Jul 13
12086603,2002 May 17
17157788,2006 Dec
"10814707,16713569,24981860",2000 May 22
"16481466,17150957,23752268,26496610,28514442,33961781",2006 Mar 1
"16481466,21258344",2006 Mar 1
16481466,2006 Mar 1
17150957,2007 Feb 16
18451879,2008 Jun
"24981860,26186194,27705803,28514442,33472061,33961781",2014 Jul 10
25519132,2014 Dec 18
26354767,2015 Nov
35205757,2022 Feb 17
"10814707,16713569",2000 May 22
11782456,2002 Mar 15
"10497213,10557326,12968035,16573520,17919502",1999 Nov 9
"10497213,12679332",2003 Jun 6
31553645,2019 Dec 1
10966647,2000 Sep
"10497213,10557326,12763797",1999 Nov 9
15133031,2004 Jul 2
"10497213,10557326",1999 Oct 1
10903893,2000 Jul 21
11901144,2002 Jun 7
14597563,2004 Jan
15069082,2004 Jun 11
16025302,2005 Oct
"16169070,36517590",2005 Sep 23
"16799092,24797263,28065597,34373451,35681168",2014 Jul
"17220478,35271311",2007 Apr
17550899,2007 Aug 10
"20305087,27684187",2010 May
"21319273,23455922",2011 Apr
22797923,2012 Oct 1
"23125841,30948266,36232890",2012
"25852190,32707033",2020 Aug 6
"25865307,26217791",2015 Jun 18
"26344197,30021884,31732153,33961781,35271311,35681168",2018 Oct
"26344197,35681168",2022 Jun 9
"26344197,31536960,35681168",2015 Sep 17
"26344197,27025967",2015 Sep 17
"26344197,29128334,31536960",2015 Sep 17
"26344197,34079125,35681168",2015 Sep 17
"26496610,35384245",2015 Oct 22
"27248496,31353912",2016
27836549,2016 Dec 2
"29128334,34079125",2017 Dec 27
"30033366,35681168",2018 Aug 9
"30194290,30639242,34079125,34373451",2018 Sep 7
"31792442,35546148",2020 Jan
"32687490,35681168",2022 Jun 9
"33567341,36490346",2021 Jan-Jun
"33961781,34857952,35681168",2021 Dec
34747980,2022 Jan 3
"35271311,35681168",2022 Jun 9
"35562734,35681168",2022 Jun 9
35842443,2022 Jul 16
"15383549,16730713",2006 Jun 12
11139403,2001 Jan 15
11832419,2002 Mar
12093728,2002 Jul 1
31685809,2019 Nov 4
"33961781,34857952",2021 Dec
15383549,2004 Nov 26
16696853,2006 Jun
"17255364,33961781",2007 May
19664597,2009 Oct 16
21771789,2011 Sep 16
25603536,2015 May
27337956,2016 Sep
34011520,2021 Jun 1
15606899,2005 Jan
22157746,2012 Feb 15
12958655,2003 Sep
"26186194,32738194",2015 Jul 16
"26186194,26344197,28514442,33961781",2015 Jul 16
"29568061,33961781,35271311",2018 Mar 22
30653357,2019 Apr
30792309,2019 Apr 19
"10551848,11526231,12032137",1999 Nov 12
"12032137,12692302",2002 Jul 26
"24550385,30619736",2014 Mar 28
"28890335,34079125",2017 Sep 21
"31536960,33961781,34079125",2021 Jul
"9575189,12692302",1998 May 15
"10551848,11526231",1999 Nov 12
9295312,1997 Sep 19
"10809745,11854448,12032137,28890335,31046837",2000 May 19
"12032137,28890335",2002 Jul 26
12804600,2003 Jun 27
17314412,2007 May
22779921,2012 Sep
"22990118,31586073",2019 Oct 4
"23455922,25852190,32707033",2013 Apr
"23956138,24189400,34373451,35384245",2013 Nov 5
24583282,2014 Jun
"26209609,27684187",2015 Oct
"26496610,31586073",2015 Oct 22
"27880917,28330616",2017 Apr 26
"28137758,34079125",2017 Mar 15
28890335,2017 Sep 21
30786847,2019 Apr 26
33060591,2020 Oct 15
34839354,2022 Jun
35611810,2022 Jul 7
36722348,2023 Feb 17
37589075,2023 Aug 1
9788433,1998 Oct 15
12670936,2003 Jun 6
"10809745,11526231,11854448",2000 May 19
7929371,1994 Oct 21
12524443,2003 Mar 28
16735509,2006 Aug 18
"18201104,33961781,35271311",2008 Feb 12
22113938,2011 Dec
"30194290,30442766,30639242",2018 Dec 7
1332771,1992 Dec 1
1827443,1991 May 15
2548572,1989 May 16
11274188,2001 Jun 15
11786550,2002 Mar 22
12763866,2003 Apr
12511555,2003 Mar 14
15145946,2004 Jul 23
"26186194,28514442,33961781,34709727",2015 Jul 16
"30194290,30442766,34079125",2018 Sep 7
"30194290,30442766",2018 Dec 7
9430700,1998 Jan 16
"9182531,12540962",1997 Jun 13
15133509,2004 Jun
11591728,2001 Oct 15
15955804,2005 Aug 19
12651853,2003 May 30
"15161933,20618440",2004 Jul 30
