source,target,weight_attribute
6,7,22269
6,0,84321
6,3,61830
6,2,22252
6,1,28519
6,4,4260
6,5,129
7,0,27640
7,3,19118
7,2,4161
7,1,5021
7,4,846
7,5,24
0,3,39659
0,2,28430
0,1,18161
0,4,5105
0,5,47
3,1,14073
3,2,8663
3,4,1810
3,5,209
3,8,1
2,1,8693
2,4,1148
2,5,25
1,4,1135
1,5,50
4,5,3
