I#ID	Name
G367	ATP6V0C
G368	ATP6V1C1
G369	ATP6V1E1
G370	ATP6V0B
G371	ATP6V1G2
G372	ATP6V0A1
G373	ATP6AP1
G374	ATP7A
G375	ATP5PO
G376	ATP7B
G377	ATR
G378	ATRX
G379	KIF1A
G380	AUH
G381	AUP1
G382	AVP
G383	AVPR1A
G384	AVPR1B
G385	AVPR2
G386	AXL
G387	AZGP1
G388	AZU1
G389	B2M
G390	BAAT
G391	BACH1
G392	BAD
G393	BAG1
G394	ADGRB1
G395	ADGRB2
G396	ADGRB3
G397	BAK1
G398	NKX3-2
G399	BARD1
G400	BAX
G401	BBS1
G402	BBS2
G403	BBS4
G404	BCAT1
G405	BCAT2
G406	BCHE
G407	BCKDHA
G408	BCKDHB
G409	CCND1
G410	BCL2
G411	BCL2A1
G412	BCL2L1
G413	BCL2L2
G414	BCL3
G415	BCL6
G416	BCL7A
G417	NBEAP1
G418	BCL9
G419	TNFRSF17
G420	HCN2
G421	OPN1SW
G422	BCR
G423	BCS1L
G424	BCYRN1
G425	BDH1
G426	BDKRB1
G427	BDKRB2
G428	BDNF
G429	CFB
G430	BFSP1
G431	BGLAP
G432	BGN
G433	CEACAM1
G434	BHMT
G435	BICD1
G436	BID
G437	BIK
G438	PRDM1
G439	BLK
G440	BLM
G441	BLMH
G442	CXCR5
G443	BLVRA
G444	BLVRB
G445	BNC1
G446	BMI1
G447	BMP1
G448	BMP2
G449	BMP3
G450	BMP4
G451	BMP5
G452	BMP6
G453	BMP7
G454	BMP8B
G455	BMPR1A
G456	BMPR1B
G457	BMPR2
G458	BMX
G459	POLR3D
G460	BNIP1
G461	BNIP2
G462	BNIP3
G463	BNIP3L
G464	BOK
G465	DST
G466	FOXL2
G467	BPGM
G468	BPHL
G469	BPI
G470	BRCA1
G471	BRAF
G472	BRCA2
G473	BRDT
G474	ZFP36L1
G475	ZFP36L2
G476	BSG
G477	BST1
G478	BST2
G479	BTC
G480	BTD
G481	KLF9
G482	KLF5
G483	BTF3
G484	BTG1
G485	BTK
G486	BTN1A1
G487	BUB1
G488	BUB1B
G489	BYSL
G490	TSPO
G491	C1QBP
G492	SERPING1
G493	C1QA
G494	C1QB
G495	C1QC
G496	C1R
G497	C1S
G498	C2
G499	C3
G500	C3AR1
G501	C4A
G502	C4B
G503	C4BPA
G504	C4BPB
G505	CAPN5
G506	C5
G507	C5AR1
G508	C6
G509	C7
G510	C8A
G511	C8B
G512	C8G
G513	OSGIN2
G514	C9
G515	VPS51
G516	MRPL49
G517	ZNHIT2
G518	MPPED2
G519	MYRF
G520	TMEM258
G521	DAGLA
G522	GAS8-AS1
G523	FMNL1
G524	LDLRAD4
G525	PTTG1IP
G526	CFAP410
G527	TMEM50B
G528	MPPED1
G529	CA1
G530	CA2
G531	CA3
G532	CA4
G533	CA5A
G534	CA6
G535	CA8
G536	CA9
G537	CA11
G538	CA12
G539	CACNA1A
G540	CACNA1B
G541	CACNA1C
G542	CACNA1D
G543	CACNA1E
G544	CACNA1F
G545	CACNA1S
G546	DDR1
G547	CACNA2D1
G548	CACNB1
G549	CACNB2
G550	CACNB3
G551	CACNB4
G552	CACNG1
G553	SLC25A20
G554	CAD
G555	CALB1
G556	CALB2
G557	S100G
G558	CALCA
G559	CALCB
G560	CALCR
G561	CALD1
G562	CALM1
G563	CALM2
G564	CALM3
G565	CALML3
G566	CALR
G567	CALU
G568	CAMK4
G569	CAMK2A
G570	CAMK2B
G571	CAMK2D
G572	CAMK2G
G573	CAMLG
G574	CAMP
G575	CANX
G576	CAPG
G577	CAPN1
G578	CAPN2
G579	CAPN3
G580	CAPNS1
G581	CAPN6
G582	CAPS
G583	CAPZA1
G584	CAPZA2
G585	CAST
G586	CAPZB
G587	CARS1
G588	CASP1
G589	CASP2
G590	CASP3
G591	CASP4
G592	CASP5
G593	CASP6
G594	CASP7
G595	CASP8
G596	CASP9
G597	CASP10
G598	CASQ1
G599	CASQ2
G600	CASR
G601	CAT
G602	CAV1
G603	CAV2
