Node,Closeness Centrality
1,0.3680712075486114
310,0.4325962509821529
368,0.36864155491362655
1026,0.44584808310774854
2232,0.40588929143146013
2308,0.4339308232750856
2886,0.41126880802475724
3320,0.48756420312223264
4147,0.4016089366845901
4580,0.4064972049361882
5655,0.3830861595960399
5980,0.3891514196857708
6472,0.4585802336926775
6606,0.43718946389273317
6622,0.4646396450702867
6657,0.47390684176872755
7083,0.43516553001219455
9923,0.3579721721684531
10321,0.33759635599159077
10422,0.41394569513662144
10549,0.43760644941523785
11010,0.36702664609641356
23198,0.4136524632392401
23352,0.4530493252456858
25813,0.4311444233135697
51035,0.4322372257861917
51131,0.37283544548708525
56888,0.42852695249955525
63891,0.4573177967107293
80854,0.40135799383487464
84236,0.4230330172110994
121665,0.44740080332474286
148581,0.38566225033022455
284161,0.3667262969588551
284403,0.4071069421557443
2,0.4221803522916484
60,0.48040486637415236
259,0.37350752054582104
309,0.42551782007684497
348,0.4229216047757001
351,0.5058406615041344
354,0.36958898329465467
476,0.4653015888346936
567,0.3911340248036211
655,0.387804387200644
998,0.4772046259379411
1022,0.45564172893218574
1080,0.47171427872022714
1230,0.4116993547835748
1361,0.3273925822728894
1508,0.4379445921683598
1510,0.3505102133619514
1558,0.34641451093893255
1562,0.3401408575009267
1911,0.3987254029671626
1990,0.3461034179284085
1995,0.36139607284184466
2026,0.406488630131207
2177,0.4680024286581664
2193,0.43096122019949007
2296,0.4242157402311503
2639,0.40899057644961373
2669,0.4011073643894925
2697,0.4484732824427481
2885,0.4730691805371434
2972,0.41886751440060865
3014,0.45337976142860503
3069,0.46498721104193813
3163,0.4379246869531623
3309,0.4976370632440668
3312,0.5092629297814424
3316,0.3921289324813805
3337,0.4479728473126279
3437,0.39970960381663556
3480,0.4613358870002394
3553,0.3937957248538848
3565,0.3257984344091839
3586,0.3400988351570773
3816,0.35442339525473604
3817,0.36632891660171474
3845,0.5131004366812227
3931,0.3222785275868413
3952,0.34559443318567407
4016,0.35724879495736
